299.648, 129.797, 5.728,  6.650 False
299.360, 129.813, 5.776,  6.700 False
299.070, 129.830, 5.828,  6.750 False
298.778, 129.847, 5.874,  6.800 False
298.483, 129.864, 5.926,  6.850 False
298.185, 129.881, 5.972,  6.900 False
297.886, 129.899, 6.023,  6.950 False
297.584, 129.916, 6.067,  7.000 False
297.279, 129.934, 6.116,  7.050 False
296.972, 129.953, 6.160,  7.100 False
296.663, 129.971, 6.208,  7.150 False
296.352, 129.989, 6.251,  7.200 False
296.038, 130.008, 6.299,  7.250 False
295.723, 130.027, 6.342,  7.300 False
295.405, 130.046, 6.389,  7.350 False
295.084, 130.065, 6.431,  7.400 False
294.762, 130.085, 6.478,  7.450 False
294.437, 130.104, 6.519,  7.500 False
294.110, 130.124, 6.566,  7.550 False
293.781, 130.144, 6.607,  7.600 False
293.450, 130.162, 6.654,  7.650 False
293.116, 130.183, 6.695,  7.700 False
292.781, 130.206, 6.741,  7.750 False
292.443, 130.228, 6.783,  7.800 False
292.103, 130.250, 6.830,  7.850 False
291.761, 130.271, 6.870,  7.900 False
291.416, 130.293, 6.915,  7.950 False
291.070, 130.315, 6.952,  8.000 False
290.722, 130.336, 6.997,  8.050 False
290.371, 130.358, 7.035,  8.100 False
290.019, 130.380, 7.080,  8.150 False
289.664, 130.402, 7.119,  8.200 False
289.307, 130.424, 7.164,  8.250 False
288.949, 130.446, 7.203,  8.300 False
288.588, 130.467, 7.249,  8.350 False
288.225, 130.489, 7.287,  8.400 False
287.859, 130.511, 7.332,  8.450 False
287.492, 130.532, 7.371,  8.500 False
287.123, 130.553, 7.416,  8.550 False
286.751, 130.574, 7.455,  8.600 False
286.377, 130.596, 7.500,  8.650 False
286.002, 130.615, 7.539,  8.700 False
285.624, 130.636, 7.584,  8.750 False
285.244, 130.657, 7.623,  8.800 False
284.862, 130.677, 7.667,  8.850 False
284.478, 130.697, 7.705,  8.900 False
284.091, 130.718, 7.750,  8.950 False
283.703, 130.736, 7.787,  9.000 False
283.313, 130.754, 7.832,  9.050 False
282.920, 130.770, 7.871,  9.100 False
282.525, 130.787, 7.916,  9.150 False
282.129, 130.801, 7.955,  9.200 False
281.730, 130.816, 8.001,  9.250 False
281.329, 130.829, 8.039,  9.300 False
280.925, 130.843, 8.085,  9.350 False
280.520, 130.854, 8.124,  9.400 False
280.112, 130.865, 8.169,  9.450 False
279.703, 130.875, 8.208,  9.500 False
279.291, 130.884, 8.253,  9.550 False
278.877, 130.891, 8.285,  9.600 False
278.462, 130.898, 8.308,  9.650 False
278.047, 130.904, 8.322,  9.700 False
277.630, 130.910, 8.334,  9.750 False
277.214, 130.914, 8.342,  9.800 False
276.797, 130.919, 8.348,  9.850 False
276.379, 130.923, 8.354,  9.900 False
275.962, 130.924, 8.358,  9.950 False
275.544, 130.926, 8.362, 10.000 False
275.126, 130.927, 8.365, 10.050 False
274.708, 130.928, 8.367, 10.100 False
274.289, 130.929, 8.369, 10.150 False
273.871, 130.929, 8.370, 10.200 False
273.452, 130.927, 8.371, 10.250 False
273.034, 130.925, 8.372, 10.300 False
272.615, 130.922, 8.372, 10.350 False
272.197, 130.919, 8.372, 10.400 False
271.778, 130.915, 8.373, 10.450 False
271.360, 130.912, 8.372, 10.500 False
270.941, 130.906, 8.372, 10.550 False
270.523, 130.901, 8.371, 10.600 False
270.104, 130.895, 8.371, 10.650 False
269.686, 130.888, 8.371, 10.700 False
269.267, 130.882, 8.370, 10.750 False
268.849, 130.873, 8.369, 10.800 False
268.431, 130.865, 8.368, 10.850 False
268.012, 130.857, 8.368, 10.900 False
267.594, 130.848, 8.367, 10.950 False
267.176, 130.839, 8.366, 11.000 False
266.758, 130.830, 8.365, 11.050 False
266.340, 130.820, 8.364, 11.100 False
265.922, 130.808, 8.363, 11.150 False
265.504, 130.797, 8.362, 11.200 False
265.086, 130.786, 8.362, 11.250 False
264.668, 130.774, 8.361, 11.300 False
264.250, 130.762, 8.360, 11.350 False
263.832, 130.750, 8.359, 11.400 False
263.414, 130.737, 8.358, 11.450 False
262.997, 130.724, 8.357, 11.500 False
262.579, 130.709, 8.356, 11.550 False
262.162, 130.694, 8.355, 11.600 False
261.744, 130.680, 8.355, 11.650 False
261.327, 130.665, 8.354, 11.700 False
260.909, 130.650, 8.354, 11.750 False
260.492, 130.635, 8.353, 11.800 False
260.075, 130.619, 8.352, 11.850 False
259.657, 130.603, 8.352, 11.900 False
259.240, 130.588, 8.351, 11.950 False
258.823, 130.572, 8.350, 12.000 False
258.406, 130.555, 8.350, 12.050 False
257.989, 130.539, 8.349, 12.100 False
257.571, 130.523, 8.348, 12.150 False
257.154, 130.506, 8.348, 12.200 False
256.737, 130.489, 8.347, 12.250 False
256.320, 130.472, 8.347, 12.300 False
255.903, 130.455, 8.346, 12.350 False
255.486, 130.438, 8.346, 12.400 False
255.070, 130.420, 8.345, 12.450 False
254.653, 130.403, 8.345, 12.500 False
254.236, 130.386, 8.345, 12.550 False
253.819, 130.368, 8.344, 12.600 False
253.402, 130.350, 8.344, 12.650 False
252.985, 130.333, 8.343, 12.700 False
252.569, 130.315, 8.343, 12.750 False
252.152, 130.297, 8.343, 12.800 False
251.735, 130.279, 8.342, 12.850 False
251.318, 130.261, 8.342, 12.900 False
250.902, 130.243, 8.342, 12.950 False
250.485, 130.225, 8.341, 13.000 False
250.068, 130.207, 8.341, 13.050 False
249.652, 130.189, 8.341, 13.100 False
249.235, 130.171, 8.340, 13.150 False
248.818, 130.153, 8.340, 13.200 False
248.402, 130.135, 8.340, 13.250 False
247.985, 130.117, 8.340, 13.300 False
247.569, 130.099, 8.339, 13.350 False
247.152, 130.081, 8.339, 13.400 False
246.736, 130.063, 8.339, 13.450 False
246.319, 130.045, 8.339, 13.500 False
245.902, 130.027, 8.338, 13.550 False
245.486, 130.009, 8.338, 13.600 False
245.069, 129.992, 8.338, 13.650 False
244.653, 129.974, 8.338, 13.700 False
244.236, 129.956, 8.338, 13.750 False
243.820, 129.939, 8.337, 13.800 False
243.403, 129.921, 8.337, 13.850 False
242.987, 129.904, 8.337, 13.900 False
242.570, 129.886, 8.337, 13.950 False
242.154, 129.869, 8.337, 14.000 False
241.737, 129.852, 8.337, 14.050 False
241.321, 129.835, 8.337, 14.100 False
240.904, 129.818, 8.336, 14.150 False
240.488, 129.801, 8.336, 14.200 False
240.071, 129.785, 8.336, 14.250 False
239.655, 129.768, 8.336, 14.300 False
239.238, 129.752, 8.336, 14.350 False
238.822, 129.736, 8.336, 14.400 False
238.405, 129.719, 8.336, 14.450 False
237.989, 129.703, 8.336, 14.500 False
237.572, 129.688, 8.336, 14.550 False
237.156, 129.672, 8.335, 14.600 False
236.740, 129.656, 8.335, 14.650 False
236.323, 129.641, 8.335, 14.700 False
235.907, 129.626, 8.335, 14.750 False
235.490, 129.610, 8.335, 14.800 False
235.074, 129.595, 8.335, 14.850 False
234.657, 129.581, 8.335, 14.900 False
234.241, 129.566, 8.335, 14.950 False
233.824, 129.552, 8.335, 15.000 False
233.408, 129.537, 8.335, 15.050 False
232.991, 129.523, 8.335, 15.100 False
232.575, 129.509, 8.335, 15.150 False
232.158, 129.496, 8.335, 15.200 False
231.742, 129.482, 8.334, 15.250 False
231.325, 129.469, 8.334, 15.300 False
230.909, 129.455, 8.334, 15.350 False
230.492, 129.442, 8.334, 15.400 False
230.076, 129.430, 8.334, 15.450 False
229.659, 129.417, 8.334, 15.500 False
229.243, 129.404, 8.334, 15.550 False
228.826, 129.394, 8.334, 15.600 False
228.409, 129.382, 8.334, 15.650 False
227.993, 129.371, 8.334, 15.700 False
227.576, 129.360, 8.334, 15.750 False
227.160, 129.349, 8.334, 15.800 False
226.743, 129.338, 8.334, 15.850 False
226.327, 129.327, 8.334, 15.900 False
225.910, 129.317, 8.334, 15.950 False
225.494, 129.307, 8.334, 16.000 False
225.077, 129.297, 8.334, 16.050 False
224.660, 129.288, 8.334, 16.100 False
224.244, 129.278, 8.334, 16.150 False
223.827, 129.269, 8.334, 16.200 False
223.411, 129.260, 8.334, 16.250 False
222.994, 129.251, 8.334, 16.300 False
222.577, 129.242, 8.334, 16.350 False
222.161, 129.234, 8.334, 16.400 False
221.744, 129.226, 8.334, 16.450 False
221.328, 129.218, 8.334, 16.500 False
220.911, 129.210, 8.334, 16.550 False
220.494, 129.202, 8.334, 16.600 False
220.078, 129.195, 8.334, 16.650 False
219.661, 129.188, 8.333, 16.700 False
219.245, 129.181, 8.333, 16.750 False
218.828, 129.174, 8.333, 16.800 False
218.411, 129.167, 8.333, 16.850 False
217.995, 129.161, 8.333, 16.900 False
217.578, 129.155, 8.333, 16.950 False
217.162, 129.149, 8.333, 17.000 False
216.745, 129.143, 8.333, 17.050 False
216.328, 129.137, 8.333, 17.100 False
215.912, 129.132, 8.333, 17.150 False
215.495, 129.127, 8.333, 17.200 False
215.078, 129.122, 8.333, 17.250 False
214.662, 129.117, 8.333, 17.300 False
214.245, 129.113, 8.333, 17.350 False
213.828, 129.108, 8.333, 17.400 False
213.412, 129.104, 8.333, 17.450 False
212.995, 129.100, 8.333, 17.500 False
212.578, 129.096, 8.333, 17.550 False
